rank,v3,delta,address,score,eurm2,woz,prem,relvalue,cost_score,label,beds
1,5,4,"Wedderborg 25, Amsterdam (Buitenveldert)",7.64,7388,505000,-2,6.4,9,A,2
2,1,-1,"Rietnesse 12-2, Amsterdam (Buitenveldert)",7.63,5892,515000,-5,6.8,6,C,2
3,2,-1,"Bouvigne 28-1, Amsterdam (Buitenveldert)",7.61,6325,600000,-12,7.8,7,C,3
4,3,-1,"Dr. Eykmanstraat 26, Amstelveen (Elsrijk)",7.58,6333,429000,11,5.7,9,A,2
5,7,2,"Turfschip 229, Amstelveen (Waardhuizen)",7.53,5412,535000,-2,7.4,10,C,3
6,6,0,"Iepenrodelaan 6-BVR, Amstelveen",7.5,6690,434000,9,5.9,10,D,3
7,4,-3,"Laanhorn 2, Amstelveen",7.45,6908,398000,32,3.0,8,A,2
8,8,0,"Ferdinand Bolweg 81, Amstelveen",7.44,5382,471000,2,6.9,8,C,2
9,10,1,"Ferdinand Bolweg 35, Amstelveen",7.39,5449,482000,1,7.0,8,D,2
10,9,-1,"Fideliolaan 174, Amstelveen (Kronenburg/Uilenstede)",7.35,5632,450000,9,6.0,8,B,3
11,17,6,"Bijdorp 91, Amstelveen (Elsrijk)",7.26,5195,432000,-7,8.1,6,C,2
12,16,4,"Sint Philipsland 101, Amstelveen",7.15,5443,425000,1,7.0,5,C,2
13,13,0,"Rembrandtweg 493, Amstelveen (Randwijck)",7.14,6188,425000,16,5.0,5,C,2
14,15,1,"Eyckenstein 79, Amstelveen (Bovenkerk-Westwijk Noord)",7.14,4622,547000,1,7.1,5,A,3
15,14,-1,"Nijenburg 1, Amsterdam (Buitenveldert)",7.13,7540,512000,-7,7.1,7,C,2
16,26,10,"Bosboom-Toussaintlaan 43, Amstelveen (Bovenkerk)",7.12,7143,640000,-14,8.9,10,C,4
17,11,-6,"Meander 37, Amstelveen (Stadshart)",7.12,4682,445000,16,5.1,4,C,2
18,12,-6,"Tiengemeten 61, Amstelveen (Randwijck-Oost)",7.08,5506,395000,10,5.8,8,E,3
